{성별},{한국어},{1격 정관사 명사},{3격 정관사 명사},{4격 정관사 명사},{1격 부정관사 명사},{3격 부정관사 명사},{4격 부정관사 명사},{복수 정관사 명사},{이미지}
중성,말,das Pferd,dem Pferd,das 기초,ein 기초,einem 기초,ein 기초,die Pferde,images/pferd.png
여성,소,die Kuh,der Kuh,die 기초,eine 기초,einer 기초,eine 기초,die Kühe,images/kuh.png
중성,돼지,das Schwein,dem Schwein,das 기초,ein 기초,einem 기초,ein 기초,die Schweine,images/schwein.png
중성,양,das Schaf,dem Schaf,das 기초,ein 기초,einem 기초,ein 기초,die Schafe,images/schaf.png
중성,닭,das Huhn,dem Huhn,das 기초,ein 기초,einem 기초,ein 기초,die Hüh너,images/huhn.png
남성,새,der Vogel,dem Vogel,den 기초,ein 기초,einem 기초,einen 기초,die Vögel,images/vogel.png
남성,사자,der Löwe,dem Löwen,den 기초,ein 기초,einem 기초,einen 기초,die Löwen,images/löwe.png
남성,호랑이,der Tiger,dem Tiger,den 기초,ein 기초,einem 기초,einen 기초,die Tiger,images/tiger.png
남성,코끼리,der Elefant,dem Elefanten,den 기초,ein 기초,einem 기초,einen 기초,die Elefanten,images/elefant.png
남성,곰,der Bär,dem Bären,den 기초,ein 기초,einem 기초,einen 기초,die Bären,images/bär.png
여성,쥐,die Maus,der Maus,die 기초,eine 기초,einer 기초,eine 기초,die Mäuse,images/maus.png
남성,원숭이,der Affe,dem Affen,den 기초,ein 기초,einem 기초,einen 기초,die Affen,images/affe.png
여성,뱀,die Schlange,der Schlange,die 기초,eine 기초,einer 기초,eine 기초,die Schlangen,images/schlange.png
남성,물고기,der Fisch,dem Fisch,den 기초,ein 기초,einem 기초,einen 기초,die Fische,images/fisch.png
중성,돈,das Geld,dem Geld,das 기초,ein 기초,einem 기초,ein 기초,die Gelder,images/geld.png
여성,질문,die Frage,der Frage,die 기초,eine 기초,einer 기초,eine 기초,die Fragen,images/frage.png
중성,문제,das Problem,dem Problem,das 기초,ein 기초,einem 기초,ein 기초,die Probleme,images/problem.png
남성,이름,der Name,dem Namen,den 기초,ein 기초,einem 기초,einen 기초,die Namen,images/name.png
여성,주소,die Adresse,der Adresse,die 기초,eine 기초,einer 기초,eine 기초,die Adressen,images/adresse.png
남성,약속(시간),der Termin,dem Termin,den 기초,ein 기초,einem 기초,einen 기초,die Termine,images/termin.png
중성,티켓,das Ticket,dem Ticket,das 기초,ein 기초,einem 기초,ein 기초,die Tickets,images/ticket.png
여성,생각,die Idee,der Idee,die 기초,eine 기초,einer 기초,eine 기초,die Ideen,images/idee.png
여성,희망,die Hoffnung,der Hoffnung,die 기초,eine 기초,einer 기초,eine 기초,die Hoffnungen,images/hoffnung.png
여성,사랑,die Liebe,der Liebe,die 기초,eine 기초,einer 기초,eine 기초,die Lieben,images/liebe.png
중성,행복,das Glück,dem Glück,das 기초,ein 기초,einem 기초,ein 기초,die Glücke,images/glück.png
남성,성공,der Erfolg,dem Erfolg,den 기초,ein 기초,einem 기초,einen 기초,die Erfolge,images/erfolg.png
여성,경험,die Erfahrung,der Erfahrung,die 기초,eine 기초,einer 기초,eine 기초,die Erfahrungen,images/erfahrung.png
여성,지식,die Kenntnis,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Kenntnisse,images/kenntnis.png
여성,문화,die Kultur,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Kulturen,images/kultur.png
여성,정치,die Politik,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Politiken,images/politik.png
여성,경제,die Wirtschaft,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Wirtschaften,images/wirtschaft.png
여성,사회,die Gesellschaft,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Gesellschaften,images/gesellschaft.png
여성,역사,die Geschichte,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Geschichten,images/geschichte.png
여성,예술,die Kunst,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Künste,images/kunst.png
여성,종교,die Religion,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Religionen,images/religion.png
중성,법,das Gesetz,dem 기초,das 기초,ein 기초,einem 기초,ein 기초,die Gesetze,images/gesetz.png
남성,평화,der Frieden,dem 기초,den 기초,ein 기초,einem 기초,einen 기초,die Frieden,images/frieden.png
여성,자유,die Freiheit,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Freiheiten,images/freiheit.png
여성,미래,die Zukunft,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Zukünfte,images/zukunft.png
여성,과거,die Vergangenheit,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Vergangenheiten,images/vergangenheit.png
여성,현재,die Gegenwart,der 기초,die 기초,eine 기초,einer 기초,eine 기초,die Gegenwarten,images/gegenwart.png
